"Excel Table 2: Differentially methylatied positions (p < 0.05) within the Chile buccal cell study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg16734734,0.35,1.17E-06,0.735,0.853,chr6,105624309,POPDC3;POPDC3,TSS200;5'UTR
cg24732692,0.51,2.36E-06,0.735,1.000,chr19,3660026,PIP5K1C,Body
cg17162166,0.57,3.03E-06,0.735,1.000,chr14,93674922,C14orf142;UBR7;UBR7,TSS1500;Body;Body
cg14931071,0.28,7.10E-06,0.851,1.000,chr6,12717776,PHACTR1,TSS200
cg24038410,0.67,8.70E-06,0.851,1.000,chr10,103986001,ELOVL3,TSS200
cg13473434,-0.55,1.08E-05,0.851,1.000,chr1,161196325,TOMM40L,Body
cg13461193,0.44,1.23E-05,0.851,1.000,chr9,92109400,,
cg24053992,0.30,1.39E-05,0.851,1.000,chr1,119554564,,
cg25703843,0.34,1.70E-05,0.851,1.000,chr16,1802926,MAPK8IP3;MAPK8IP3,Body;Body
cg07342108,0.38,2.07E-05,0.851,1.000,chr1,205343134,,
cg05445326,0.52,2.16E-05,0.851,1.000,chr3,196065569,TM4SF19,TSS1500
cg01813672,0.26,2.18E-05,0.851,1.000,chr2,240876920,,
cg17071301,-0.37,2.22E-05,0.851,1.000,chr20,43331835,,
cg01197584,0.51,2.53E-05,0.851,1.000,chr11,3210764,,
cg20247661,0.31,2.66E-05,0.851,1.000,chr10,21812368,C10orf140,5'UTR
cg18558913,0.57,2.77E-05,0.851,1.000,chr2,135933059,,
cg09562938,0.44,2.88E-05,0.851,1.000,chr17,62307787,TEX2,5'UTR
cg15978097,0.67,2.90E-05,0.851,1.000,chr11,501569,RNH1;RNH1;RNH1;RNH1;RNH1;RNH1;RNH1;RNH1,Body;Body;Body;Body;Body;Body;Body;Body
cg03856606,0.44,2.92E-05,0.851,1.000,chr5,173998862,,
cg24637374,0.43,2.96E-05,0.851,1.000,chr5,75740907,IQGAP2,Body
cg22292025,0.26,2.98E-05,0.851,1.000,chr5,17684666,,
cg13059997,0.37,3.04E-05,0.851,1.000,chr7,92187276,,
cg26941368,-0.51,3.18E-05,0.851,1.000,chr16,77469998,ADAMTS18,TSS1500
cg01934781,0.53,3.71E-05,0.851,1.000,chr12,12223947,BCL2L14;BCL2L14;BCL2L14;BCL2L14,5'UTR;TSS1500;1stExon;TSS1500
cg24893837,0.46,3.99E-05,0.851,1.000,chr5,78282099,ARSB;ARSB;ARSB,1stExon;5'UTR;TSS1500
cg08390099,0.35,4.00E-05,0.851,1.000,chr16,11445395,C16orf75,3'UTR
cg10661054,0.59,4.21E-05,0.851,1.000,chr2,128422179,LIMS2;LIMS2;LIMS2;LIMS2,Body;Body;TSS200;5'UTR
cg25348655,-0.72,4.37E-05,0.851,1.000,chr7,17409912,,
cg02592999,0.49,4.59E-05,0.851,1.000,chr8,93890266,,
cg17447555,0.42,4.71E-05,0.851,1.000,chr17,72004699,,
cg03182782,-0.43,4.74E-05,0.851,1.000,chr2,237416620,IQCA1,TSS1500
cg08415219,0.42,4.75E-05,0.851,1.000,chr6,19906065,,
cg03569068,0.29,4.88E-05,0.851,1.000,chr20,10286857,SNAP25;SNAP25,3'UTR;3'UTR
cg17417573,0.40,4.95E-05,0.851,1.000,chr11,133384356,OPCML,Body
cg00830710,0.45,5.26E-05,0.851,1.000,chr12,124419761,DNAH10,Body
cg13688889,0.68,5.70E-05,0.851,1.000,chr9,100608707,,
cg07473599,0.45,5.93E-05,0.851,1.000,chr14,93674967,UBR7;UBR7,Body;Body
cg22292299,0.35,6.01E-05,0.851,1.000,chr2,136756637,DARS-AS1;DARS-AS1,Body;Body
cg03878722,0.40,6.25E-05,0.851,1.000,chr16,76666860,,
cg07355507,0.28,6.30E-05,0.851,1.000,chr6,16804166,,
cg24018190,0.40,6.57E-05,0.851,1.000,chr4,74280794,ALB,Body
cg14193314,-0.48,6.73E-05,0.851,1.000,chr9,131087980,COQ4,Body
cg09957949,-0.44,6.98E-05,0.851,1.000,chr19,55741692,TMEM86B;PPP6R1,TSS1500;3'UTR
cg25240964,0.54,7.02E-05,0.851,1.000,chr4,79339974,FRAS1;FRAS1,Body;Body
cg05940146,0.31,7.12E-05,0.851,1.000,chr14,76097639,FLVCR2,Body
cg03673191,0.25,7.64E-05,0.851,1.000,chr21,28952919,MIR5009,Body
cg01878268,0.67,7.66E-05,0.851,1.000,chr11,76368694,LRRC32;LRRC32,3'UTR;3'UTR
cg22361543,0.45,7.78E-05,0.851,1.000,chr1,7757378,CAMTA1,Body
cg16956994,0.42,7.81E-05,0.851,1.000,chr15,85901939,,
cg12669271,0.40,8.01E-05,0.851,1.000,chr8,118987299,EXT1,Body
cg20178144,0.29,8.06E-05,0.851,1.000,chr8,105764787,,
cg14276684,-0.41,8.17E-05,0.851,1.000,chr19,2121485,AP3D1;AP3D1,Body;Body
cg24359706,0.49,8.21E-05,0.851,1.000,chr5,131280497,MEIKIN,Body
cg10692363,0.63,8.49E-05,0.851,1.000,chr10,80327890,,
cg16455945,0.35,8.57E-05,0.851,1.000,chr5,16777377,MYO10,Body
cg14613164,0.29,8.72E-05,0.851,1.000,chr9,13897073,,
cg04467557,0.32,8.90E-05,0.851,1.000,chr2,237569012,,
cg14519120,-0.48,9.06E-05,0.851,1.000,chr1,26249725,,
cg23809442,0.46,9.11E-05,0.851,1.000,chr13,102569876,FGF14;FGF14,Body;TSS1500
cg21369874,0.37,9.22E-05,0.851,1.000,chr5,150994498,,
cg26680760,0.30,9.34E-05,0.851,1.000,chr16,3155880,,
cg23550589,0.24,9.36E-05,0.851,1.000,chr4,24894154,CCDC149;CCDC149,Body;Body
cg11898431,0.43,9.36E-05,0.851,1.000,chr6,159331893,,
cg20795999,0.31,9.53E-05,0.851,1.000,chr3,184074817,CLCN2;CLCN2;CLCN2;CLCN2,Body;Body;Body;Body
cg07326125,0.22,9.73E-05,0.851,1.000,chr13,24701839,SPATA13,Body
cg11953824,0.36,9.81E-05,0.851,1.000,chr9,111697545,C9orf6;IKBKAP,Body;TSS1500
cg13007356,0.46,9.87E-05,0.851,1.000,chr11,82709910,RAB30;RAB30;RAB30;RAB30,5'UTR;5'UTR;5'UTR;5'UTR
cg11095658,0.41,0.0001007589217,0.851,1.000,chr3,51616517,RAD54L2,5'UTR
cg20702205,0.28,0.0001028439591,0.851,1.000,chr7,5731340,RNF216;RNF216,Body;Body
cg23975646,0.51,0.0001093034799,0.851,1.000,chr18,74728931,MBP;MBP;MBP;MBP;MBP;MBP,1stExon;1stExon;Body;1stExon;Body;1stExon
cg12238567,-0.40,0.0001101679982,0.851,1.000,chr17,11294684,SHISA6;SHISA6;SHISA6,Body;Body;Body
cg14914908,-0.38,0.0001150905875,0.851,1.000,chr15,89345688,ACAN;ACAN,TSS1500;TSS1500
cg05112120,0.49,0.000116136118,0.851,1.000,chr17,10119723,,
cg05595134,0.49,0.0001170952975,0.851,1.000,chr8,55047255,MRPL15,TSS1500
cg23260330,0.26,0.0001176579961,0.851,1.000,chr5,139527883,,
cg02160631,0.26,0.0001203053704,0.851,1.000,chr21,39382432,,
cg07274562,0.34,0.0001217307442,0.851,1.000,chr14,72531369,RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6;RGS6,5'UTR;Body;Body;Body;Body;Body;Body;Body;Body;Body
cg04322849,0.35,0.0001218628176,0.851,1.000,chr18,47176970,,
cg02097144,0.26,0.0001220757044,0.851,1.000,chr7,78280216,MAGI2,Body
cg00792790,0.26,0.0001224052884,0.851,1.000,chr3,147878612,,
cg06157941,0.45,0.0001225785823,0.851,1.000,chr3,1133028,CNTN6;CNTN6;CNTN6,TSS1500;TSS1500;TSS1500
cg04256202,0.48,0.0001231644594,0.851,1.000,chr1,119546998,,
cg22682811,0.52,0.0001266188999,0.851,1.000,chr20,21372462,,
cg18263451,-0.18,0.0001266644699,0.851,1.000,chr1,25573180,C1orf63,Body
cg20291241,0.36,0.0001296512451,0.851,1.000,chr20,48312574,B4GALT5,Body
cg01862641,-0.60,0.0001315312578,0.851,1.000,chr8,2418966,,
cg25519921,0.35,0.0001331103696,0.851,1.000,chr10,98588227,,
cg16658337,-0.47,0.0001331792957,0.851,1.000,chr5,1468749,LPCAT1,Body
cg17290213,0.26,0.0001346883389,0.851,1.000,chr11,65344355,EHBP1L1,Body
cg03153775,0.27,0.0001350249702,0.851,1.000,chr3,45185028,CDCP1;CDCP1,Body;Body
cg18125814,0.36,0.000137742475,0.851,1.000,chr11,49455214,,
cg10894205,-0.35,0.0001414183815,0.851,1.000,chr17,928747,ABR;ABR;ABR,Body;Body;Body
cg25806249,0.39,0.000141775391,0.851,1.000,chr13,24297754,,
cg24457562,0.52,0.0001421257239,0.851,1.000,chr2,106212101,LOC285000,Body
cg10201061,0.43,0.0001437642021,0.851,1.000,chr7,139450348,HIPK2;HIPK2,Body;Body
cg05308327,0.31,0.0001463094625,0.851,1.000,chr6,117246826,RFX6;RFX6,ExonBnd;Body
cg10569039,-0.41,0.0001481651364,0.851,1.000,chr7,42277044,GLI3,TSS1500
cg22542859,0.44,0.0001488707002,0.851,1.000,chr14,101528234,MIR377,TSS200
cg23801782,0.31,0.0001493007612,0.851,1.000,chr18,66471057,CCDC102B;CCDC102B,5'UTR;5'UTR
cg00409861,0.28,0.0001496666858,0.851,1.000,chr5,143365769,,
cg10945885,0.37,0.0001502356754,0.851,1.000,chr1,22665067,,
cg22215827,0.49,0.0001510729843,0.851,1.000,chr11,7522616,OLFML1,Body
cg11013365,0.36,0.0001518196289,0.851,1.000,chr4,52887359,SGCB,3'UTR
cg24285545,0.42,0.0001523139703,0.851,1.000,chr2,180197839,,
