"Excel Table 5: Differentially variable positions (p < 0.05) within the Chile PBMC study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg26913058,1.26,4.90E-10,2.50E-04,3.65E-04,chr16,419975,MRPL28,Body
cg15260248,-2.06,6.71E-10,2.50E-04,5.00E-04,chr3,189829092,LEPREL1;LEPREL1,5'UTR;Body
cg17189664,1.49,1.39E-09,3.46E-04,0.001,chr22,28253523,PITPNB;PITPNB;PITPNB,Body;Body;Body
cg22214581,-0.84,2.52E-09,4.69E-04,0.002,chr7,106694832,PRKAR2B,Body
cg14685237,1.32,1.19E-07,0.016,0.088,chr8,129659734,,
cg12031740,2.55,1.33E-07,0.016,0.099,chr17,76936927,,
cg25825405,-0.31,2.39E-07,0.025,0.178,chr3,51663250,RAD54L2,Body
cg12716346,0.48,5.44E-07,0.051,0.405,chr4,187810656,,
cg16123269,1.05,9.55E-07,0.074,0.711,chr6,30135113,TRIM15,Body
cg06894795,0.45,9.94E-07,0.074,0.740,chr17,27181725,ERAL1,TSS1500
cg00664023,0.62,1.70E-06,0.107,1.000,chr1,95538837,ALG14,TSS1500
cg21215173,0.51,1.73E-06,0.107,1.000,chr21,40033236,ERG;ERG;ERG;ERG;ERG;ERG,TSS1500;5'UTR;5'UTR;5'UTR;5'UTR;Body
cg00355784,0.81,2.69E-06,0.130,1.000,chr16,15712868,KIAA0430,Body
cg03822350,-0.47,2.76E-06,0.130,1.000,chr3,52720061,GNL3;GNL3;GNL3;PBRM1;GNL3;GNL3;GNL3,1stExon;5'UTR;5'UTR;TSS200;1stExon;5'UTR;1stExon
cg20668662,-0.66,2.85E-06,0.130,1.000,chr10,105452885,SH3PXD2A,Body
cg13252226,0.78,2.95E-06,0.130,1.000,chr6,30135162,TRIM15,Body
cg27409831,-0.42,2.97E-06,0.130,1.000,chr19,40562710,ZNF780B,TSS1500
cg05598103,-0.39,4.43E-06,0.164,1.000,chr6,32022929,TNXB,Body
cg09992973,-0.20,4.61E-06,0.164,1.000,chr4,142062053,,
cg22069588,0.85,4.98E-06,0.164,1.000,chr4,155471681,PLRG1,TSS200
cg27298559,-0.40,5.02E-06,0.164,1.000,chr17,57785523,PTRH2;TMEM49,TSS1500;5'UTR
cg04237075,-0.24,5.23E-06,0.164,1.000,chr9,34637949,SIGMAR1;SIGMAR1,TSS200;TSS200
cg04292615,0.83,5.33E-06,0.164,1.000,chr19,53290079,ZNF600,TSS200
cg22870642,-0.27,5.38E-06,0.164,1.000,chr11,8076898,TUB,Body
cg20434599,1.18,5.50E-06,0.164,1.000,chr10,17051623,CUBN,Body
cg05840533,1.83,5.77E-06,0.165,1.000,chr20,31755943,C20orf70,TSS200
cg27445355,0.53,6.54E-06,0.176,1.000,chr16,5147899,EEF2KMT;EEF2KMT;EEF2KMT,TSS200;TSS200;TSS200
cg07667731,0.29,6.61E-06,0.176,1.000,chr15,99645211,SYNM;SYNM,TSS200;TSS200
cg05624214,-0.44,7.53E-06,0.193,1.000,chr4,17783261,FAM184B,TSS200
cg01813280,-0.75,9.41E-06,0.231,1.000,chr6,168590844,,
cg27107150,-0.84,9.63E-06,0.231,1.000,chr16,1272275,TPSG1,Body
cg06210081,-0.17,1.07E-05,0.248,1.000,chr10,35507416,,
cg21322043,0.83,1.15E-05,0.260,1.000,chr10,11905941,PROSER2;PROSER2-AS1,Body;Body
cg26945245,0.90,1.32E-05,0.278,1.000,chr1,93561992,MTF2;MTF2;MTF2;MTF2,5'UTR;5'UTR;Body;Body
cg09427568,-0.92,1.34E-05,0.278,1.000,chr12,97670383,,
cg12686244,-0.28,1.35E-05,0.278,1.000,chr1,157996500,KIRREL;KIRREL,Body;Body
cg09949321,-0.44,1.39E-05,0.278,1.000,chr17,48601094,MYCBPAP,Body
cg10118195,-0.43,1.42E-05,0.278,1.000,chr12,60205931,,
cg02705835,-0.35,1.62E-05,0.309,1.000,chr3,49203908,CCDC71,TSS200
cg14718822,-0.32,1.75E-05,0.320,1.000,chr6,84234250,PRSS35;PRSS35,Body;Body
cg01747035,1.32,1.78E-05,0.320,1.000,chr10,97300013,SORBS1;SORBS1;SORBS1;SORBS1,5'UTR;5'UTR;5'UTR;5'UTR
cg20426524,-0.62,1.81E-05,0.320,1.000,chr2,53994655,LOC100302652;ASB3;CHAC2;ASB3,Body;5'UTR;TSS1500;5'UTR
cg00120721,-0.37,1.91E-05,0.331,1.000,chr10,19175217,,
cg23213016,-0.98,2.02E-05,0.333,1.000,chr3,152880098,RAP2B;RAP2B,1stExon;5'UTR
cg15911328,0.60,2.04E-05,0.333,1.000,chr5,140556888,PCDHB8,TSS1500
cg12853765,0.29,2.07E-05,0.333,1.000,chr6,137224053,PEX7,Body
cg00106564,-1.12,2.14E-05,0.333,1.000,chr9,277742,DOCK8;DOCK8;DOCK8,5'UTR;5'UTR;Body
cg06058262,1.07,2.15E-05,0.333,1.000,chr5,1069724,SLC12A7,Body
cg13857551,-0.29,2.20E-05,0.334,1.000,chr6,63776070,,
cg25980689,-1.16,2.26E-05,0.336,1.000,chr7,187339,,
cg24577193,-0.48,2.36E-05,0.345,1.000,chr1,78148396,ZZZ3,TSS200
cg23775045,-0.27,2.58E-05,0.355,1.000,chr6,161666496,AGPAT4,5'UTR
cg07740693,0.54,2.67E-05,0.355,1.000,chr6,41339616,,
cg20227749,0.22,2.67E-05,0.355,1.000,chr16,69796112,WWP2;WWP2;WWP2,TSS200;TSS200;TSS200
cg01524287,-0.32,2.78E-05,0.355,1.000,chr22,50239973,,
cg14325335,-0.31,2.79E-05,0.355,1.000,chr15,72563700,PARP6,TSS200
cg14332223,0.31,2.80E-05,0.355,1.000,chr19,56136067,ZNF784,TSS200
cg17456612,0.74,2.82E-05,0.355,1.000,chr15,69111367,ANP32A,Body
cg14492208,0.29,2.84E-05,0.355,1.000,chr3,11858873,TAMM41;TAMM41;TAMM41,Body;Body;Body
cg10099808,-0.22,2.88E-05,0.355,1.000,chr7,140148791,,
cg04797664,-0.36,2.91E-05,0.355,1.000,chr12,60205926,,
