"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg13490635,0.39,2.68E-06,0.67,1.00,chr8,30242021,RBPMS;RBPMS;RBPMS;RBPMS;RBPMS;RBPMS;RBPMS;RBPMS,5'UTR;5'UTR;1stExon;1stExon;1stExon;5'UTR;1stExon;5'UTR,,
cg06218338,0.42,3.26E-06,0.67,1.00,chr7,27231894,,,,
cg13403760,0.57,7.13E-06,0.94,1.00,chr1,214725246,PTPN14,TSS1500,,
cg08535411,0.27,9.17E-06,0.94,1.00,chr7,151826219,,,,
cg02043951,0.55,1.42E-05,0.97,1.00,chr10,126138623,NKX1-2,TSS200,,
cg24613479,1.09,1.59E-05,0.97,1.00,chr2,197458046,HECW2,TSS1500,,
cg03906434,0.49,1.86E-05,0.97,1.00,chr7,27231819,,,,
cg01050273,-0.41,2.18E-05,0.97,1.00,chr14,101120705,,,,
cg02206980,-0.66,2.39E-05,0.97,1.00,chr6,13574034,SIRT5;SIRT5,TSS1500;TSS1500,,
cg13978777,-0.37,2.69E-05,0.97,1.00,chr19,2491825,,,,
cg01645806,0.34,3.48E-05,0.97,1.00,chr6,170189779,C6orf208;C6orf122,TSS1500;Body,,
cg05767159,0.32,3.68E-05,0.97,1.00,chr7,27231204,,,,
cg14638883,0.80,4.05E-05,0.97,1.00,chr6,166582201,T,TSS200,,
cg09595163,0.64,4.21E-05,0.97,1.00,chr3,55515541,WNT5A,Body,,
cg10508883,-0.29,4.34E-05,0.97,1.00,chr16,22326535,POLR3E,Body,,
cg08710469,-0.34,4.83E-05,0.97,1.00,chr1,156856513,,,,
cg20832722,0.25,5.23E-05,0.97,1.00,chr2,198523055,RFTN2,Body,,
cg18525616,-0.51,5.68E-05,0.97,1.00,chr14,88630000,,,,
cg24061141,0.64,5.72E-05,0.97,1.00,chr7,35293869,TBX20;TBX20,TSS200;TSS200,,
cg14659814,-0.46,5.89E-05,0.97,1.00,chr1,3209910,PRDM16;PRDM16,Body;Body,, 
cg24123106,-0.36,5.94E-05,0.97,1.00,chr6,123100471,FABP7,TSS200,,
cg24347594,0.50,7.38E-05,0.97,1.00,chr2,45236743,SIX2,TSS1500,,
cg22433759,0.37,7.42E-05,0.97,1.00,chr17,71824272,C17orf54,Body,,
cg13713218,0.86,7.87E-05,0.97,1.00,chr9,100000033,KIAA1529,TSS1500,,
cg02602264,-0.47,8.04E-05,0.97,1.00,chr7,1026310,CYP2W1,Body,,
cg16619378,0.45,8.05E-05,0.97,1.00,chr17,14207530,HS3ST3B1;MGC12916,Body;Body,,
cg14709833,0.48,8.08E-05,0.97,1.00,chr13,112157732,,,,
cg18978493,0.36,8.19E-05,0.97,1.00,chr7,27225855,HOXA11AS;HOXA11,Body;TSS1500,,
cg04080022,-0.25,8.24E-05,0.97,1.00,chr16,89648534,CPNE7;CPNE7,Body;Body,,
cg00692277,0.32,8.43E-05,0.97,1.00,chr16,3230847,,,,
cg06040811,0.42,8.44E-05,0.97,1.00,chr5,88018605,MEF2C;MEF2C,Body;Body,,
cg03149958,-0.26,8.99E-05,0.97,1.00,chr6,36326677,,,,
cg02799448,0.20,9.00E-05,0.97,1.00,chr6,137817008,OLIG3,TSS1500,,
cg13692433,0.23,9.19E-05,0.97,1.00,chr11,112832159,NCAM1;NCAM1;NCAM1;NCAM1;NCAM1;NCAM1,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon,,
cg17375249,0.41,9.26E-05,0.97,1.00,chr6,108436115,,,,
cg22853526,0.24,9.38E-05,0.97,1.00,chr1,113216965,MOV10;MOV10,TSS200;TSS200,,
cg00654814,0.58,9.95E-05,0.97,1.00,chr17,74865068,MGAT5B;MGAT5B,1stExon;5'UTR,,
cg01218206,-0.26,0.000,0.97,1.00,chr11,116933977,SIK3,Body,,
cg10841775,0.38,0.000,0.97,1.00,chr12,79258313,SYT1;SYT1,5'UTR;TSS200,,
cg07149179,-0.29,0.000,0.97,1.00,chr3,134978680,EPHB1,3'UTR,,
cg20908936,0.50,0.000,0.97,1.00,chr7,113726250,,,,
cg00186143,-0.36,0.000,0.97,1.00,chr2,7029602,RSAD2,Body,,
cg21401517,-0.30,0.000,0.97,1.00,chr1,151283740,PI4KB,Body,,
cg02533423,0.40,0.000,0.97,1.00,chr7,27232150,,,,
cg24068299,0.70,0.000,0.97,1.00,chr2,27071255,DPYSL5,5'UTR,,
cg08835301,-0.30,0.000,0.97,1.00,chr7,30585918,,,,
cg03685346,0.25,0.000,0.97,1.00,chr5,107005999,EFNA5,Body,,
cg03801286,0.20,0.000,0.97,1.00,chr21,35884508,KCNE1,TSS1500,,
cg24397114,-0.22,0.000,0.97,1.00,chr11,67774728,ALDH3B1,TSS1500,,
cg02251663,0.39,0.000,0.97,1.00,chr11,14281053,SPON1,Body,,
cg20824761,0.97,0.000,0.97,1.00,chr15,69591567,PAQR5,5'UTR,,
cg19388776,0.86,0.000,0.97,1.00,chr3,71835112,PROK2;PROK2,TSS1500;TSS1500,,
cg27305735,0.88,0.000,0.97,1.00,chr1,247537369,,,,
cg25289973,0.63,0.000,0.97,1.00,chr4,41362397,LIMCH1;LIMCH1;LIMCH1,TSS1500;TSS1500;TSS1500,,
cg10508295,0.75,0.000,0.97,1.00,chr2,173600480,LOC91149;RAPGEF4,Body;TSS200,,
cg05600350,0.47,0.000,0.97,1.00,chr4,4858598,,,,
cg05694245,0.73,0.000,0.97,1.00,chr10,28034816,MKX,TSS200,,
cg16870655,-0.76,0.000,0.97,1.00,chr19,57996678,,,,
cg14294240,-0.28,0.000,0.97,1.00,chr9,2626347,VLDLR;VLDLR,Body;Body,,
cg15058645,0.19,0.000,0.97,1.00,chr2,175528343,WIPF1,5'UTR,,
cg27372162,0.26,0.000,0.97,1.00,chr5,126626647,MEGF10;MEGF10,5'UTR;1stExon,,
cg20078972,0.23,0.000,0.97,1.00,chr19,15391832,BRD4;BRD4,TSS1500;TSS1500,,
cg23019745,-0.32,0.000,0.97,1.00,chr13,28363281,,,,
cg19274341,-0.29,0.000,0.97,1.00,chr1,8143891,,,,
cg14123992,-0.32,0.000,0.97,1.00,chr19,45407868,APOE,TSS1500,,
cg17862447,-0.50,0.000,0.97,1.00,chr2,23633680,KLHL29,5'UTR,,
cg26783127,0.34,0.000,0.97,1.00,chr17,79128918,AATK,Body,,
cg16778809,0.32,0.000,0.97,1.00,chr2,207308375,ADAM23;ADAM23,1stExon;5'UTR,,
cg25602684,0.62,0.000,0.97,1.00,chr5,37839918,GDNF,TSS200,,
cg16845363,-0.35,0.000,0.97,1.00,chr3,35730817,ARPP-21,Body,,
cg15104622,-0.38,0.000,0.97,1.00,chr4,167448796,,,,
cg02995710,-0.47,0.000,0.97,1.00,chr3,71805022,EIF4E3;EIF4E3,TSS1500;TSS1500,,
cg13196826,0.74,0.000,0.97,1.00,chr10,98945664,SLIT1;SLIT1,5'UTR;1stExon,,
cg00233756,0.25,0.000,0.97,1.00,chr3,126373634,,,,
cg01051581,-0.22,0.000,0.97,1.00,chr5,32090639,PDZD2,Body,,
cg25502144,-0.65,0.000,0.97,1.00,chr20,30073546,NCRNA00028,TSS200,,
cg00133970,-0.28,0.000,0.97,1.00,chr7,44123200,POLM,TSS1500,,
cg15127702,-0.46,0.000,0.97,1.00,chr7,101079617,EMID2,Body,,
cg09355247,0.22,0.000,0.97,1.00,chr1,226499634,,,,
cg24269840,-0.31,0.000,0.97,1.00,chr3,137728712,CLDN18;CLDN18,TSS1500;Body,,
cg05884501,0.32,0.000,0.97,1.00,chr11,85522575,SYTL2,TSS1500,,
cg20751361,0.58,0.000,0.97,1.00,chr3,37493945,ITGA9,1stExon,,
cg11526198,-0.42,0.000,0.97,1.00,chr1,23854847,E2F2,Body,,
cg14545590,-0.26,0.000,0.97,1.00,chr8,40388592,ZMAT4;ZMAT4,3'UTR;3'UTR,,
cg11103845,0.24,0.000,0.97,1.00,chr6,32157230,PBX2,Body,,
cg04866029,0.25,0.000,0.97,1.00,chr1,2707161,,,,
cg21885638,-0.18,0.000,0.97,1.00,chr3,129306552,PLXND1,Body,,
cg19018097,0.35,0.000,0.97,1.00,chr11,65601328,SNX32,TSS200,,
cg27018380,0.56,0.000,0.97,1.00,chr14,93389876,CHGA,Body,,
cg08085827,-0.44,0.000,0.97,1.00,chr17,71361857,SDK2,Body,,
cg18090145,-0.65,0.000,0.97,1.00,chr6,67741714,,,,
cg06871344,-0.29,0.000,0.97,1.00,chr17,452707,VPS53;VPS53,Body;Body,,
cg16608407,0.30,0.000,0.97,1.00,chr7,27225865,HOXA11AS;HOXA11,Body;TSS1500,,
cg20949251,-0.31,0.000,0.97,1.00,chr6,7432666,,,,
cg22206370,-0.40,0.000,0.97,1.00,chr19,54925703,TTYH1;TTYH1,TSS1500;TSS1500,,
cg24107021,0.22,0.000,0.97,1.00,chr13,96297058,DZIP1;DZIP1,TSS200;TSS200,,
cg08088222,-0.29,0.000,0.97,1.00,chr12,122070432,ORAI1,Body,,
cg09754413,0.23,0.000,0.97,1.00,chr6,13925567,RNF182;RNF182;RNF182;RNF182;RNF182,5'UTR;5'UTR;5'UTR;1stExon;5'UTR,,
cg14418693,-0.26,0.000,0.97,1.00,chr9,103359868,,,,
cg09551145,0.31,0.000,0.97,1.00,chr1,11790591,,,,
cg25330878,-0.18,0.000,0.97,1.00,chr17,17379109,MED9,TSS1500,,
cg00589006,0.21,0.000,0.97,1.00,chr16,70415864,ST3GAL2,Body,,
cg09186006,0.56,0.000,0.97,1.00,chr10,91295299,SLC16A12;SLC16A12,1stExon;5'UTR,,
cg16213028,-0.53,0.000,0.97,1.00,chr3,181861227,,,,
cg14625636,0.78,0.000,0.97,1.00,chr9,100000026,KIAA1529,TSS1500,,
cg01441421,0.30,0.000,0.97,1.00,chr7,36909953,ELMO1;ELMO1;ELMO1,Body;Body;Body,,
cg04311599,0.24,0.000,0.97,1.00,chr11,10953109,,,,
cg23407151,-0.21,0.000,0.97,1.00,chr6,53579798,,,,
cg22621867,0.39,0.000,0.97,1.00,chr3,51990301,GPR62,1stExon,,
cg14600813,-0.57,0.000,0.97,1.00,chr4,57396496,,,,
cg05594873,-0.26,0.000,0.97,1.00,chr3,79814509,ROBO1,5'UTR,,
cg04543901,-0.41,0.000,0.97,1.00,chr17,63519783,,,,
cg19519310,0.39,0.000,0.97,1.00,chr6,1389367,FOXF2,TSS1500,,
cg13625113,-0.26,0.000,0.97,1.00,chr9,125675579,ZBTB6;ZBTB6,5'UTR;1stExon,,
cg00522333,0.19,0.000,0.97,1.00,chr20,25036597,ACSS1,Body,,
cg08073215,-0.41,0.000,0.97,1.00,chr17,71434052,SDK2,Body,,
cg19533530,0.30,0.000,0.97,1.00,chr19,57831662,ZNF543,TSS1500,,
cg08377768,0.19,0.000,0.97,1.00,chr3,160474222,PPM1L,1stExon,,
cg01610838,0.23,0.000,0.97,1.00,chr4,186131545,SNX25,5'UTR,,
cg21122375,-0.31,0.000,0.97,1.00,chr7,37956869,SFRP4,TSS1500,,
cg10365562,-0.38,0.000,0.97,1.00,chr3,46615549,LRRC2,5'UTR,,
cg20380069,0.32,0.000,0.97,1.00,chr12,120806617,MSI1,Body,,
cg07763376,0.31,0.000,0.97,1.00,chr5,178016195,COL23A1,Body,,
cg06146897,0.30,0.000,0.97,1.00,chr12,3475463,,,,
cg27406919,-0.23,0.000,0.97,1.00,chr16,87212733,,,,
cg15078061,0.25,0.000,0.97,1.00,chr6,32117558,PRRT1,Body,,
