"Excel Table 6: Differentially variable positions (p < 0.05) within the Chile buccal cell study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg06252810,1.71,2.06E-14,0.00000001510981708,1.51E-08,chr18,77378261,,
cg14685237,1.27,3.04E-13,0.000000111212102,2.22E-07,chr8,129659734,,
cg07770866,1.72,2.16E-11,0.000005263904238,1.58E-05,chr8,121821052,SNTB1,Body
cg00579468,-1.21,1.77E-10,0.00003247507735,1.30E-04,chr7,129647468,,
cg17189664,0.98,5.03E-10,0.0000736201296,3.68E-04,chr22,28253523,PITPNB;PITPNB;PITPNB,Body;Body;Body
cg03400443,-0.61,5.56E-08,0.007,0.041,chr2,74347616,,
cg26958558,-1.10,1.09E-07,0.011,0.080,chr2,113522543,CKAP2L,TSS1500
cg09830308,-0.83,3.16E-07,0.027,0.231,chr16,74734321,MLKL;MLKL,5'UTR;5'UTR
cg00717648,-0.50,3.34E-07,0.027,0.245,chr5,43041489,LOC648987;ANXA2R;LOC153684,Body;TSS1500;TSS1500
cg17416722,-1.27,8.33E-07,0.061,0.610,chr6,32554385,HLA-DRB1,Body
cg02078001,-0.79,1.08E-06,0.072,0.795,chr2,106755680,UXS1;UXS1;UXS1;UXS1,TSS1500;Body;Body;Body
cg27425262,1.07,1.44E-06,0.088,1.000,chr2,113953981,PSD4;LOC440839,Body;Body
cg20827445,0.68,1.71E-06,0.096,1.000,chr9,33001553,APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX;APTX,1stExon;1stExon;Body;Body;Body;Body;Body;Body;Body;Body;5'UTR;5'UTR;5'UTR;5'UTR
cg07008029,0.79,2.16E-06,0.106,1.000,chr3,38778453,SCN10A;SCN10A;SCN10A,Body;Body;Body
cg03030858,0.65,2.32E-06,0.106,1.000,chr12,77625418,,
cg03807298,0.73,2.32E-06,0.106,1.000,chr5,174159039,,
cg23053175,-0.52,3.46E-06,0.134,1.000,chr6,26988107,LOC100270746;LINC00240,TSS200;Body
cg16395282,-0.63,3.47E-06,0.134,1.000,chr1,45997007,,
cg09010764,0.71,3.48E-06,0.134,1.000,chr8,126232191,NSMCE2,Body
cg26869849,0.66,4.16E-06,0.146,1.000,chr2,27632522,PPM1G;PPM1G,TSS200;TSS200
cg24119079,0.50,4.17E-06,0.146,1.000,chr19,56915653,ZNF583;ZNF583;ZNF583,5'UTR;TSS200;TSS200
cg03707742,-0.55,5.31E-06,0.163,1.000,chr15,102181550,TM2D3;TM2D3,Body;Body
cg21802726,-0.16,5.32E-06,0.163,1.000,chr20,33735257,EDEM2;EDEM2;EDEM2,TSS200;TSS200;TSS200
cg17767945,-0.55,5.33E-06,0.163,1.000,chr5,32710231,NPR3,TSS1500
cg06756169,0.60,5.78E-06,0.169,1.000,chr15,22833335,TUBGCP5;TUBGCP5,TSS200;TSS200
cg19342791,0.61,6.04E-06,0.170,1.000,chr12,50615166,LIMA1;LIMA1;LIMA1,Body;Body;Body
cg25438415,-0.19,6.95E-06,0.188,1.000,chr19,9648876,ZNF426,5'UTR
cg00918179,0.50,8.53E-06,0.223,1.000,chr19,8517024,HNRNPM;HNRNPM;HNRNPM,5'UTR;Body;Body
cg00191477,0.63,8.99E-06,0.227,1.000,chr13,93879022,GPC6,TSS200
cg24482427,-0.51,9.46E-06,0.229,1.000,chr16,74734730,MLKL;MLKL;MLKL;MLKL,5'UTR;5'UTR;1stExon;1stExon
cg18237551,-0.59,9.70E-06,0.229,1.000,chr5,150284600,ZNF300,TSS1500
cg01918428,-0.64,1.10E-05,0.251,1.000,chr10,113943656,GPAM;GPAM,TSS200;TSS200
cg05033239,-1.37,1.13E-05,0.251,1.000,chr5,90458832,GPR98;GPR98,Body;Body
cg23728836,-0.59,1.16E-05,0.251,1.000,chr6,32518160,,
cg27459981,-0.68,1.37E-05,0.287,1.000,chr16,74734571,MLKL;MLKL;MLKL;MLKL,5'UTR;1stExon;5'UTR;1stExon
cg07984380,-0.85,1.49E-05,0.304,1.000,chr6,32547019,HLA-DRB1,Body
cg25771730,-0.76,1.60E-05,0.311,1.000,chr4,7427195,SORCS2,Body
cg24409356,0.40,1.64E-05,0.311,1.000,chr1,165738333,TMCO1,TSS200
cg02487130,0.69,1.68E-05,0.311,1.000,chr2,220349733,SPEG,Body
cg13534536,0.50,1.70E-05,0.311,1.000,chr4,7938304,AFAP1;AFAP1,5'UTR;5'UTR
cg21683152,-0.45,1.92E-05,0.329,1.000,chr21,45422363,,
cg18888655,0.96,1.94E-05,0.329,1.000,chr19,17403176,ABHD8,3'UTR
cg16975027,-0.64,1.98E-05,0.329,1.000,chr2,191745736,GLS;GLS,5'UTR;1stExon
cg03453179,-0.51,2.05E-05,0.329,1.000,chr20,61464168,COL9A3,Body
cg05840533,1.52,2.05E-05,0.329,1.000,chr20,31755943,C20orf70,TSS200
cg08919494,-0.60,2.13E-05,0.329,1.000,chr8,61194111,CA8,TSS200
cg04192862,-0.55,2.15E-05,0.329,1.000,chr10,28966472,BAMBI;BAMBI,1stExon;5'UTR
cg15908455,-0.26,2.20E-05,0.329,1.000,chr7,128784603,TSPAN33,TSS200
cg25375711,-0.53,2.23E-05,0.329,1.000,chr8,125463057,TRMT12;TRMT12,1stExon;5'UTR
cg11998425,-0.28,2.25E-05,0.329,1.000,chr19,8213583,FBN3,TSS1500
cg10225491,-0.36,2.34E-05,0.337,1.000,chr17,3571916,TMEM93;TAX1BP3;TAX1BP3;TMEM93,TSS200;5'UTR;1stExon;TSS200
cg19312314,-0.87,2.49E-05,0.350,1.000,chr21,44473962,CBS,3'UTR
cg11198041,-0.54,2.88E-05,0.382,1.000,chr14,35344866,BAZ1A;BAZ1A,TSS200;TSS200
cg04729852,-0.40,2.89E-05,0.382,1.000,chr4,57186736,KIAA1211,Body
cg26277344,0.68,2.89E-05,0.382,1.000,chr6,31908802,C2;C2-AS1;C2;C2;C2;C2,Body;Body;Body;Body;Body;Body
cg22792655,-0.98,2.92E-05,0.382,1.000,chr9,74888474,,
cg27343001,-0.40,3.22E-05,0.407,1.000,chr19,16739049,MED26,TSS200
cg12408295,-0.54,3.24E-05,0.407,1.000,chr20,42286743,,
cg20467136,-0.15,3.40E-05,0.407,1.000,chr17,48638190,CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G;CACNA1G,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500
cg19756821,0.36,3.49E-05,0.407,1.000,chr1,54940702,,
cg05292954,-0.30,3.49E-05,0.407,1.000,chr19,57050620,ZFP28,Body
cg02775897,-0.68,3.50E-05,0.407,1.000,chr6,6856820,,
cg09024536,-0.50,3.55E-05,0.407,1.000,chr7,50245184,,
cg03860013,-0.28,3.58E-05,0.407,1.000,chr20,31756013,C20orf70;C20orf70,1stExon;5'UTR
cg23870282,-0.18,3.65E-05,0.407,1.000,chr3,72897792,SHQ1,TSS200
cg15709605,0.44,3.67E-05,0.407,1.000,chr1,220309030,IARS2,Body
cg15828403,0.54,3.80E-05,0.409,1.000,chr1,78470186,DNAJB4,TSS1500
cg06634460,0.46,3.84E-05,0.409,1.000,chr12,123380891,VPS37B,TSS200
cg08463929,0.73,3.95E-05,0.409,1.000,chr6,153305433,FBXO5;FBXO5,TSS1500;TSS1500
cg06826120,-0.48,3.95E-05,0.409,1.000,chr14,102422152,,
cg02984507,-0.69,4.05E-05,0.409,1.000,chr11,112235851,,
cg19281693,-0.49,4.11E-05,0.409,1.000,chr22,42666674,,
cg09915769,-0.56,4.27E-05,0.409,1.000,chr19,7660977,KIAA1543;KIAA1543,1stExon;1stExon
cg09062638,-0.41,4.45E-05,0.409,1.000,chr1,23003490,,
cg10206657,-0.73,4.49E-05,0.409,1.000,chr5,56111587,MAP3K1,1stExon
cg13281248,0.26,4.50E-05,0.409,1.000,chr4,1244360,C4orf42;CTBP1;CTBP1;C4orf42,5'UTR;TSS1500;TSS1500;1stExon
cg08738562,-0.28,4.52E-05,0.409,1.000,chr1,113259167,PPM1J,TSS1500
cg04406454,-0.43,4.55E-05,0.409,1.000,chr6,10398494,TFAP2A;TFAP2A;TFAP2A,3'UTR;3'UTR;3'UTR
cg18811255,-0.25,4.57E-05,0.409,1.000,chr12,66524493,LLPH;LLPH,5'UTR;1stExon
cg25540579,-0.32,4.58E-05,0.409,1.000,chr19,1653193,TCF3,TSS1500
cg03150857,-0.43,4.59E-05,0.409,1.000,chr7,106300577,FLJ36031;FLJ36031,3'UTR;1stExon
cg26384602,-0.21,4.61E-05,0.409,1.000,chr19,41798386,HNRNPUL1;HNRNPUL1,Body;Body
cg08541563,-0.32,4.63E-05,0.409,1.000,chr7,98901776,,
cg16914870,-0.79,4.76E-05,0.412,1.000,chr20,13798538,NDUFAF5;NDUFAF5;NDUFAF5,3'UTR;3'UTR;Body
cg13244417,-0.24,4.78E-05,0.412,1.000,chr13,101327186,TMTC4;TMTC4,TSS200;TSS200
cg27105094,-0.20,4.84E-05,0.412,1.000,chr2,133038836,,
cg25333298,-0.56,5.10E-05,0.430,1.000,chr22,36851113,,
cg23281729,1.08,5.26E-05,0.433,1.000,chr18,78005477,PARD6G,TSS200
cg01121610,-0.28,5.29E-05,0.433,1.000,chr1,204043732,SOX13,5'UTR
cg18339380,-0.21,5.33E-05,0.433,1.000,chr4,184838092,STOX2,Body
cg16711781,1.64,5.45E-05,0.439,1.000,chr5,86708868,CCNH;CCNH,TSS200;TSS200
cg11518846,0.36,5.64E-05,0.449,1.000,chr6,133562246,EYA4;EYA4;EYA4,TSS1500;TSS1500;TSS1500
cg19131946,0.53,5.87E-05,0.458,1.000,chr11,61906300,INCENP;INCENP,Body;Body
cg06188683,-0.48,5.88E-05,0.458,1.000,chr15,69113451,ANP32A,TSS200
cg06330157,0.75,5.95E-05,0.459,1.000,chr5,137225205,PKD2L2;PKD2L2;PKD2L2;PKD2L2,1stExon;1stExon;1stExon;1stExon
cg12582957,-0.21,6.02E-05,0.459,1.000,chr7,157648355,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
cg18348142,-0.26,6.32E-05,0.467,1.000,chr12,47474055,AMIGO2;AMIGO2,TSS1500;TSS1500
cg09838042,-0.32,6.35E-05,0.467,1.000,chr1,92351547,TGFBR3;TGFBR3,1stExon;5'UTR
cg11001216,-0.38,6.37E-05,0.467,1.000,chr19,58859029,A1BG,Body
cg00703453,-0.28,6.38E-05,0.467,1.000,chr18,77658726,KCNG2,Body
cg14343548,-0.49,6.46E-05,0.468,1.000,chr11,67038414,ADRBK1,Body
cg08431089,0.87,6.57E-05,0.472,1.000,chr5,133512999,SKP1;SKP1,TSS1500;TSS1500
cg14024788,0.49,6.65E-05,0.473,1.000,chr5,1875611,,
cg00158600,-0.73,7.05E-05,0.496,1.000,chr20,36540289,VSTM2L,Body
cg19971716,-0.51,7.13E-05,0.496,1.000,chr4,122301740,QRFPR,1stExon
cg10472711,-0.57,7.24E-05,0.496,1.000,chr7,797592,HEATR2,Body
cg04134624,-0.33,7.25E-05,0.496,1.000,chr22,39268162,CBX6,1stExon
cg01813280,-0.67,7.39E-05,0.496,1.000,chr6,168590844,,
cg20562447,-0.58,7.43E-05,0.496,1.000,chr11,68611596,,
cg00897250,-0.30,7.45E-05,0.496,1.000,chr12,569679,B4GALNT3,1stExon
cg15675123,-0.30,7.77E-05,0.504,1.000,chr5,12623177,,
cg20409501,-0.41,7.77E-05,0.504,1.000,chr22,46466858,,
cg19274914,-0.49,7.78E-05,0.504,1.000,chr2,15703543,,
cg22603247,-0.58,7.90E-05,0.508,1.000,chr10,124907553,HMX2,TSS200
cg06693411,-0.30,7.97E-05,0.508,1.000,chr7,184273,,
cg20447730,-0.59,8.15E-05,0.511,1.000,chr10,45719880,,
cg14919929,0.58,8.21E-05,0.511,1.000,chr10,118506882,,
cg07960450,-0.87,8.24E-05,0.511,1.000,chr7,45614300,ADCY1,1stExon
cg26810767,0.25,8.31E-05,0.511,1.000,chr16,79303841,,
cg24936068,-0.25,8.47E-05,0.512,1.000,chr6,149867452,PPIL4,TSS1500
cg22635523,-1.13,8.47E-05,0.512,1.000,chr6,32492390,HLA-DRB5,Body
