"Excel Table 1: Differentially methylatied positions (p < 0.05) within the Chile PBMC study. Models adjusted for sex, age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg25840057,-0.32,2.90E-06,0.78,1.00,chr13,113730354,MCF2L;MCF2L,Body;Body
cg10143323,0.38,4.54E-06,0.78,1.00,chr11,127332027,,
cg15083775,0.27,5.63E-06,0.78,1.00,chr17,48054048,,
cg06540149,-0.44,7.21E-06,0.78,1.00,chr12,125464830,DHX37,Body
cg25076597,-0.76,7.71E-06,0.78,1.00,chr10,134150581,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,Body;TSS200;Body;Body;Body
cg13683864,0.63,9.32E-06,0.78,1.00,chr3,40499215,RPL14;RPL14,Body;Body
cg07739642,-0.29,1.20E-05,0.78,1.00,chr10,78981432,KCNMA1;KCNMA1;KCNMA1;KCNMA1;KCNMA1;KCNMA1,Body;Body;Body;Body;Body;Body
cg27495951,-0.41,1.30E-05,0.78,1.00,chr6,170608479,,
cg24427813,0.38,1.37E-05,0.78,1.00,chr1,81880709,,
cg19129425,-0.30,1.40E-05,0.78,1.00,chr17,71165339,SSTR2,5'UTR
cg17222525,-0.56,1.53E-05,0.78,1.00,chr3,98449421,ST3GAL6-AS1,Body
cg23397975,0.49,1.53E-05,0.78,1.00,chr16,12746222,,
cg17234888,-0.49,1.71E-05,0.78,1.00,chr8,92114459,LRRC69,TSS1500
cg06179060,0.50,1.82E-05,0.78,1.00,chr13,78493012,EDNRB;EDNRB;EDNRB,5'UTR;TSS200;TSS200
cg12228863,0.57,2.05E-05,0.78,1.00,chr13,95069222,,
cg21430191,0.46,2.29E-05,0.78,1.00,chr21,42682653,,
cg11290092,-0.43,2.30E-05,0.78,1.00,chr6,44213713,HSP90AB1;HSP90AB1;HSP90AB1;HSP90AB1;HSP90AB1,TSS1500;TSS1500;TSS1500;TSS1500;TSS200
cg06218932,-0.45,2.34E-05,0.78,1.00,chr16,3183858,ZNF213;ZNF213,TSS1500;TSS1500
cg00906167,-0.73,2.34E-05,0.78,1.00,chr2,128615801,POLR2D,TSS200
cg04141813,0.87,2.55E-05,0.78,1.00,chr16,216450,HBM,Body
cg09275980,0.58,2.61E-05,0.78,1.00,chr15,25350925,SNORD116-29,TSS1500
cg20334235,-0.31,2.69E-05,0.78,1.00,chr9,133511233,FUBP3,Body
cg14757937,0.38,2.72E-05,0.78,1.00,chr3,36102558,,
cg09064848,0.36,2.84E-05,0.78,1.00,chr17,3627007,ITGAE;GSG2,Body;TSS200
cg18743951,-0.43,2.90E-05,0.78,1.00,chr2,61752960,XPO1,Body
cg07518355,-0.35,2.91E-05,0.78,1.00,chr10,105454009,SH3PXD2A,Body
cg10192330,0.40,3.20E-05,0.78,1.00,chr21,45938262,TSPEAR-AS2;TSPEAR-AS2;TSPEAR;TSPEAR,Body;Body;Body;Body
cg14994894,-0.30,3.51E-05,0.78,1.00,chr4,669618,ATP5I;ATP5I,TSS1500;TSS1500
cg23821920,-0.32,4.17E-05,0.78,1.00,chr22,20905256,MED15;MED15;MED15;MED15;MED15;MED15,Body;Body;Body;Body;Body;Body
cg25312939,0.46,4.26E-05,0.78,1.00,chr11,2239991,,
cg27038724,-0.32,4.41E-05,0.78,1.00,chr15,99670386,SYNM;SYNM,Body;Body
cg13791254,1.07,4.44E-05,0.78,1.00,chr9,100616607,FOXE1,1stExon
cg24041541,0.46,4.46E-05,0.78,1.00,chr8,77586395,LOC100192378,Body
cg24997274,-0.33,4.70E-05,0.78,1.00,chr4,153503005,,
cg22586726,-0.55,4.77E-05,0.78,1.00,chr10,134150542,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,Body;TSS200;Body;Body;Body
cg09405702,-0.24,4.79E-05,0.78,1.00,chr8,12588030,LONRF1,Body
cg04194185,-0.39,4.87E-05,0.78,1.00,chr2,179915033,CCDC141,TSS1500
cg25490477,-0.39,4.88E-05,0.78,1.00,chr6,133078831,VNN2;VNN2,1stExon;Body
cg24979784,0.38,4.91E-05,0.78,1.00,chr2,133417870,LYPD1;LYPD1,Body;Body
cg07709545,-0.34,4.91E-05,0.78,1.00,chr2,99981843,EIF5B,Body
cg04267285,0.45,4.94E-05,0.78,1.00,chr15,39311266,,
cg01916664,-0.61,5.00E-05,0.78,1.00,chr17,78113354,EIF4A3,Body
cg14839809,0.46,5.01E-05,0.78,1.00,chr1,2796325,,
cg11305937,-0.62,5.16E-05,0.78,1.00,chr20,2188663,,
cg09252677,-0.36,5.59E-05,0.78,1.00,chr11,10875397,ZBED5;ZBED5,Body;Body
cg02792375,-0.30,5.84E-05,0.78,1.00,chr12,10325732,TMEM52B;OLR1;OLR1;OLR1,5'UTR;TSS1500;TSS1500;TSS1500
cg15934141,-0.42,5.86E-05,0.78,1.00,chr14,105781900,BRF1;BRF1;PACS2;PACS2;BRF1;BRF1;PACS2,1stExon;1stExon;Body;Body;5'UTR;5'UTR;5'UTR
cg24765309,-0.42,5.91E-05,0.78,1.00,chr2,182005783,LOC101927156,Body
cg15117847,0.45,5.95E-05,0.78,1.00,chr6,6191894,F13A1,Body
cg23300529,-0.35,6.05E-05,0.78,1.00,chr8,21989012,HR;HR,TSS1500;TSS1500
cg01679157,0.35,6.14E-05,0.78,1.00,chr12,117664252,NOS1;NOS1;NOS1;NOS1,Body;Body;Body;Body
cg14434922,0.34,6.33E-05,0.78,1.00,chr9,991047,DMRT3,3'UTR
cg24448167,-0.25,6.34E-05,0.78,1.00,chr21,43225345,PRDM15;PRDM15,Body;Body
cg23988182,0.42,6.34E-05,0.78,1.00,chr2,118903514,,
cg03972484,-0.28,6.65E-05,0.78,1.00,chr3,40541074,,
cg17668300,0.41,6.69E-05,0.78,1.00,chr11,6756685,,
cg20810645,0.35,6.77E-05,0.78,1.00,chr13,96294863,DZIP1;DZIP1,5'UTR;5'UTR
cg02613510,0.53,7.25E-05,0.78,1.00,chr11,27723789,BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF;BDNF,Body;5'UTR;TSS1500;5'UTR;5'UTR;TSS1500;TSS1500;TSS1500;5'UTR;TSS1500;TSS1500
cg06159181,0.48,7.36E-05,0.78,1.00,chr11,70072977,,
cg12365907,-0.28,7.42E-05,0.78,1.00,chr3,28373304,AZI2;AZI2;AZI2,Body;3'UTR;3'UTR
cg02035711,-0.30,7.52E-05,0.78,1.00,chr1,119608509,WARS2;WARS2,Body;Body
cg20217160,0.26,7.57E-05,0.78,1.00,chr15,63428041,LACTB,Body
cg09959242,0.36,7.57E-05,0.78,1.00,chr13,85004775,,
cg24214699,-0.84,7.97E-05,0.78,1.00,chr10,134150451,LRRC27;LRRC27;LRRC27;LRRC27;LRRC27,Body;TSS200;Body;Body;Body
cg23464371,-0.27,7.98E-05,0.78,1.00,chr6,7172263,RREB1;RREB1;RREB1;RREB1,5'UTR;5'UTR;5'UTR;5'UTR
cg08973565,-0.44,8.20E-05,0.78,1.00,chr3,42849745,ACKR2,TSS1500
cg13439946,-0.48,8.72E-05,0.78,1.00,chr1,991708,,
cg13995297,0.47,8.92E-05,0.78,1.00,chr7,153582929,DPP6,TSS1500
cg02551493,1.05,8.98E-05,0.78,1.00,chr14,20664307,OR11G2,TSS1500
cg10324157,-0.56,9.27E-05,0.78,1.00,chr10,1797701,,
cg01574410,0.33,9.41E-05,0.78,1.00,chr22,44585432,PARVG;PARVG,Body;Body
cg09548638,0.27,9.42E-05,0.78,1.00,chr5,148443744,SH3TC2,TSS1500
cg20701987,-0.62,9.44E-05,0.78,1.00,chr3,134502706,,
cg04658543,0.32,9.63E-05,0.78,1.00,chr12,113904848,LHX5,Body
cg14058983,0.35,9.64E-05,0.78,1.00,chr11,132851505,OPCML,Body
cg20565972,-0.44,9.74E-05,0.78,1.00,chr18,66485481,CCDC102B;CCDC102B,5'UTR;5'UTR
cg10549071,-0.34,9.75E-05,0.78,1.00,chr2,235160451,,
cg04683824,0.52,9.78E-05,0.78,1.00,chr16,34293670,,
cg24117468,-0.47,0.0001003803513,0.78,1.00,chr5,131562848,P4HA2;P4HA2;P4HA2;P4HA2;P4HA2;P4HA2;P4HA2,5'UTR;5'UTR;5'UTR;1stExon;5'UTR;5'UTR;1stExon
cg06892541,-0.20,0.0001007782044,0.78,1.00,chr2,204126622,CYP20A1,Body
cg17781418,-0.23,0.0001025725526,0.78,1.00,chr3,71305262,FOXP1;FOXP1;FOXP1;FOXP1;FOXP1;FOXP1,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR
cg01968152,0.32,0.0001034405434,0.78,1.00,chr7,28487058,CREB5;CREB5;CREB5,5'UTR;5'UTR;Body
cg03532459,-0.32,0.0001050789985,0.78,1.00,chr16,67914052,EDC4,Body
cg21236153,-0.35,0.0001081849562,0.78,1.00,chr9,34457249,C9orf25,Body
cg26971596,-0.62,0.0001087002794,0.78,1.00,chr10,126481025,METTL10,TSS1500
cg06800929,-0.38,0.0001097261696,0.78,1.00,chr21,34853666,TMEM50B;TMEM50B,TSS1500;TSS1500
cg26422132,0.41,0.0001109719304,0.78,1.00,chr5,80927102,SSBP2;SSBP2;SSBP2;SSBP2;SSBP2;SSBP2,Body;Body;Body;Body;Body;Body
cg14158073,-0.30,0.0001145704325,0.78,1.00,chr6,28602705,,
cg04165366,-0.25,0.0001182232371,0.78,1.00,chr8,131154466,ASAP1,Body
