"Excel Table 4: Differentially methylatied positions (p < 0.05) within the Bangladesh 850K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg11529056,-0.53,9.71E-06,1.00,1.00,chr1,31123769,,
cg19269956,0.80,1.36E-05,1.00,1.00,chr6,30524408,PRR3;GNL1;PRR3;GNL1,TSS200;5'UTR;TSS200;1stExon
cg06635328,0.41,4.94E-05,1.00,1.00,chr7,1408635,,
cg15414833,-0.99,7.23E-05,1.00,1.00,chr7,87257767,RUNDC3B;RUNDC3B;RUNDC3B;ABCB1;RUNDC3B;RUNDC3B;RUNDC3B,1stExon;5'UTR;1stExon;5'UTR;5'UTR;1stExon;5'UTR
cg15908791,-0.52,7.47E-05,1.00,1.00,chr7,127775817,,
cg14203218,-0.48,8.02E-05,1.00,1.00,chr7,144107540,,
cg20601028,-0.86,8.88E-05,1.00,1.00,chr20,22738632,,
cg08832695,-0.55,1.18E-04,1.00,1.00,chr17,46676375,LOC404266;LOC404266;LOC404266;LOC404266;HOXB6;LOC404266,Body;Body;Body;Body;5'UTR;Body
cg20214553,-0.45,1.21E-04,1.00,1.00,chr11,17278779,,
cg16041981,0.77,1.35E-04,1.00,1.00,chr13,114057379,,
cg11970695,-0.39,1.39E-04,1.00,1.00,chr1,3634044,TP73;TP73;TP73;TP73,Body;Body;Body;Body
cg08706492,0.46,1.41E-04,1.00,1.00,chr1,247374357,,
cg13415566,-0.61,1.48E-04,1.00,1.00,chr10,125423240,,
cg07207090,-0.40,1.51E-04,1.00,1.00,chr18,52495150,RAB27B,TSS1500
cg22915154,-0.38,1.53E-04,1.00,1.00,chr11,68816030,TPCN2,TSS1500
cg17139085,-0.53,1.57E-04,1.00,1.00,chr1,36787356,,
cg23363754,-1.06,1.63E-04,1.00,1.00,chr7,29606082,PRR15,Body
cg04971779,-0.65,1.71E-04,1.00,1.00,chr6,44190729,SLC29A1;SLC29A1;SLC29A1;SLC29A1;SLC29A1,5'UTR;TSS1500;TSS1500;5'UTR;TSS1500
cg13755866,-0.64,1.74E-04,1.00,1.00,chr9,74920620,,
cg08164476,-0.42,1.76E-04,1.00,1.00,chr18,12656793,SPIRE1;SPIRE1;SPIRE1,TSS200;Body;Body
cg02770809,0.43,1.77E-04,1.00,1.00,chr4,36283990,DTHD1,Body
cg02561726,-0.76,1.80E-04,1.00,1.00,chr2,183943938,DUSP19;DUSP19,Body;Body
cg02626112,-0.58,1.89E-04,1.00,1.00,chr19,55850082,SUV420H2,TSS1500
cg03273700,-0.43,1.92E-04,1.00,1.00,chr6,117997374,NUS1,Body
cg01259360,-0.49,2.01E-04,1.00,1.00,chr11,66034992,KLC2;RAB1B;KLC2;KLC2;KLC2,3'UTR;TSS1500;3'UTR;3'UTR;3'UTR
cg08958793,0.49,2.15E-04,1.00,1.00,chr10,76970511,VDAC2,TSS200
cg11766580,-0.57,2.29E-04,1.00,1.00,chr4,7904283,AFAP1;AFAP1,5'UTR;5'UTR
cg06615445,-0.40,2.34E-04,1.00,1.00,chr17,36759100,SRCIN1,Body
cg01496151,-0.94,2.39E-04,1.00,1.00,chr18,47212479,,
cg10877894,-0.40,2.53E-04,1.00,1.00,chr14,22109758,,
cg17875845,-0.41,2.69E-04,1.00,1.00,chr4,87932378,AFF1;AFF1,Body;Body
cg13105904,-0.96,2.69E-04,1.00,1.00,chr14,24900044,CBLN3;KHNYN,TSS1500;Body
cg21276695,-0.37,2.74E-04,1.00,1.00,chr10,44463844,LINC00841,Body
cg27232352,-0.39,2.85E-04,1.00,1.00,chr1,168332300,,
cg01832712,-0.38,2.86E-04,1.00,1.00,chr3,4910674,,
cg10838744,-0.65,2.94E-04,1.00,1.00,chr4,7652252,SORCS2,Body
cg16789847,-2.04,2.97E-04,1.00,1.00,chr1,152586488,LCE3B,1stExon
cg19684883,0.41,2.98E-04,1.00,1.00,chr9,74980740,ZFAND5;ZFAND5;ZFAND5,TSS1500;TSS1500;TSS1500
cg08358188,-0.43,3.07E-04,1.00,1.00,chr6,32802958,TAP2;TAP2,Body;Body
cg25715429,-0.87,3.14E-04,1.00,1.00,chr2,206628747,NRP2;NRP2;NRP2;NRP2;NRP2,Body;Body;Body;Body;Body
cg27061791,-0.37,3.14E-04,1.00,1.00,chr16,67009163,,
cg06971773,-0.48,3.34E-04,1.00,1.00,chr10,71169083,TACR2,Body
cg13381486,0.38,3.35E-04,1.00,1.00,chr2,131513632,FAM123C;FAM123C;FAM123C;FAM123C,TSS1500;5'UTR;5'UTR;TSS1500
cg09753657,-0.69,3.36E-04,1.00,1.00,chr1,159869927,CCDC19,TSS200
cg21848673,-0.66,3.47E-04,1.00,1.00,chr15,93876581,,
cg18088210,-0.49,3.58E-04,1.00,1.00,chr3,187387189,SST,Body
cg05049790,-0.57,3.65E-04,1.00,1.00,chr5,1499152,LPCAT1,Body
cg09628812,-0.51,3.82E-04,1.00,1.00,chr7,110624172,IMMP2L;IMMP2L,Body;Body
cg06126721,-0.43,3.84E-04,1.00,1.00,chr17,1478065,SLC43A2,3'UTR
cg12292060,-0.46,3.89E-04,1.00,1.00,chr6,29597991,GABBR1;GABBR1,Body;Body
cg10112265,-0.45,4.01E-04,1.00,1.00,chr11,391408,,
cg15830431,0.30,4.01E-04,1.00,1.00,chr8,99952591,,
cg12029105,-0.56,4.14E-04,1.00,1.00,chr12,120032623,TMEM233,Body
cg10964385,0.56,4.15E-04,1.00,1.00,chr11,20690223,NELL1;NELL1,TSS1500;TSS1500
cg00255350,-0.38,4.25E-04,1.00,1.00,chr15,101672157,,
cg16004738,-0.38,4.29E-04,1.00,1.00,chr14,105155327,INF2;INF2;INF2,TSS1500;TSS1500;TSS1500
cg12177897,-0.62,4.30E-04,1.00,1.00,chr7,93062450,CALCR;CALCR;CALCR,Body;Body;Body
cg07328369,-0.39,4.36E-04,1.00,1.00,chr9,21413718,,
cg22530232,0.39,4.37E-04,1.00,1.00,chr7,158110152,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body
cg27619291,-0.43,4.51E-04,1.00,1.00,chr8,72988280,TRPA1,TSS1500
cg07847428,-0.84,4.73E-04,1.00,1.00,chr19,8478158,MARCH2;MARCH2;MARCH2,TSS200;TSS200;TSS200
cg23038520,0.54,4.84E-04,1.00,1.00,chr11,61406508,RPLP0P2,Body
cg18092293,-0.39,0.001,1.00,1.00,chr15,52167060,TMOD3,Body
cg02080778,0.44,0.001,1.00,1.00,chr9,35955080,,
cg11917481,-0.45,0.001,1.00,1.00,chr12,32116037,C12orf35,5'UTR
cg11811705,0.65,0.001,1.00,1.00,chr1,55462689,,
cg06868100,-0.62,0.001,1.00,1.00,chr7,29606349,PRR15,3'UTR
cg25557612,-0.32,0.001,1.00,1.00,chr2,197124443,LOC101927482;LOC101927482;HECW2;HECW2,TSS1500;TSS1500;Body;Body
cg04171038,-0.42,0.001,1.00,1.00,chr12,132512619,EP400,Body
cg17620199,-0.32,0.001,1.00,1.00,chr20,21685925,PAX1,TSS1500
cg03157871,-0.44,0.001,1.00,1.00,chr3,128186222,DNAJB8;DNAJB8-AS1,TSS200;Body
cg24691453,-0.52,0.001,1.00,1.00,chr1,153518384,S100A4;S100A4,TSS200;TSS200
cg14515424,0.39,0.001,1.00,1.00,chr2,97193524,,
cg15206981,-0.46,0.001,1.00,1.00,chr4,124323013,SPRY1;SPRY1,Body;Body
cg20094736,-0.49,0.001,1.00,1.00,chr1,110590471,STRIP1;STRIP1;STRIP1;STRIP1;STRIP1;STRIP1,ExonBnd;ExonBnd;ExonBnd;Body;Body;Body
cg07787313,-0.43,0.001,1.00,1.00,chr4,109087499,LEF1-AS1;LEF1;LEF1;LEF1;LEF1;LEF1,TSS1500;1stExon;5'UTR;Body;Body;Body
cg14782841,-0.31,0.001,1.00,1.00,chr19,54475129,CACNG8,Body
cg11502300,0.40,0.001,1.00,1.00,chr12,27646646,SMCO2,Body
cg09078081,-0.65,0.001,1.00,1.00,chr5,416724,AHRR,Body
cg07325427,-0.84,0.001,1.00,1.00,chr19,46792195,RNU6-66P,Body
cg20822540,-0.39,0.001,1.00,1.00,chr1,9070127,SLC2A7,Body
cg24306924,0.37,0.001,1.00,1.00,chr16,46918433,GPT2;GPT2,5'UTR;TSS1500
cg06541795,-0.52,0.001,1.00,1.00,chr1,209921370,,
cg13184177,-0.46,0.001,1.00,1.00,chr1,27942087,FGR;FGR;FGR,Body;Body;Body
cg08665859,-0.32,0.001,1.00,1.00,chr3,39093223,WDR48;WDR48;WDR48,TSS1500;TSS1500;TSS1500
cg19442106,-0.42,0.001,1.00,1.00,chr17,68632756,,
cg01704698,0.78,0.001,1.00,1.00,chr16,84941294,CRISPLD2,3'UTR
cg02614217,-0.43,0.001,1.00,1.00,chr4,122632774,,
cg18044793,-0.52,0.001,1.00,1.00,chr14,22109421,,
cg05374271,-0.32,0.001,1.00,1.00,chr1,192778890,RGS2,Body
cg27135354,-0.38,0.001,1.00,1.00,chr11,64564834,MAP4K2;MAP4K2;MAP4K2;MAP4K2,ExonBnd;ExonBnd;Body;Body
cg02759670,0.43,0.001,1.00,1.00,chr3,47422424,PTPN23,TSS200
cg24240501,0.58,0.001,1.00,1.00,chr14,96777728,ATG2B,Body
cg05255351,-0.33,0.001,1.00,1.00,chr5,1503979,LPCAT1,Body
cg20393890,-0.38,0.001,1.00,1.00,chr3,111257869,,
cg08323540,-0.42,0.001,1.00,1.00,chr5,170209581,GABRP,TSS1500
cg17537307,0.35,0.001,1.00,1.00,chr4,36284867,DTHD1;DTHD1,TSS1500;Body
cg13377232,0.38,0.001,1.00,1.00,chr3,192747867,,
cg22065591,-0.34,0.001,1.00,1.00,chr11,3849223,RHOG,Body
cg09464332,-0.34,0.001,1.00,1.00,chr18,22412067,,
cg08752140,-0.37,0.001,1.00,1.00,chr1,2131086,FAAP20;FAAP20,5'UTR;Body
cg10856506,-0.44,0.001,1.00,1.00,chr1,58856650,,
cg16844941,0.51,0.001,1.00,1.00,chr8,11555178,,
cg07681579,-0.64,0.001,1.00,1.00,chr12,54954396,PDE1B;PDE1B,TSS1500;Body
cg27642112,-0.32,0.001,1.00,1.00,chr8,19616304,,
cg09745256,-0.57,0.001,1.00,1.00,chr1,240851290,MIR1273E,Body
cg22018621,-0.57,0.001,1.00,1.00,chr2,72441974,EXOC6B,Body
cg07965995,-1.24,0.001,1.00,1.00,chr17,811389,NXN,Body
cg00068519,-0.54,0.001,1.00,1.00,chr7,94259997,SGCE;SGCE;SGCE;SGCE,Body;Body;Body;Body
cg26085663,-0.47,0.001,1.00,1.00,chr2,55537146,CCDC88A;CCDC88A;CCDC88A,Body;Body;Body
cg17244719,-0.45,0.001,1.00,1.00,chr8,144661001,NAPRT;NAPRT,TSS1500;TSS1500
cg18220884,-0.38,0.001,1.00,1.00,chr14,106834320,,
cg22074858,0.63,0.001,1.00,1.00,chr1,89488430,GBP3;GBP3,1stExon;5'UTR
cg24413819,0.53,0.001,1.00,1.00,chr14,97207507,,
cg27207756,1.64,0.001,1.00,1.00,chr4,1607291,,
cg17138835,-0.41,0.001,1.00,1.00,chr5,40269596,,
cg20868668,-0.33,0.001,1.00,1.00,chr1,100435035,SLC35A3,TSS1500
cg21074024,-0.36,0.001,1.00,1.00,chr17,78134791,,
cg02185971,-0.41,0.001,1.00,1.00,chr7,6388334,C7orf70;C7orf70,1stExon;5'UTR
cg15169189,-0.36,0.001,1.00,1.00,chr18,7568891,PTPRM;PTPRM,Body;Body
cg06636340,-0.31,0.001,1.00,1.00,chr22,46005129,,
cg05057292,-0.34,0.001,1.00,1.00,chr9,117270267,,
cg14962787,-0.43,0.001,1.00,1.00,chr1,2131080,FAAP20;FAAP20,5'UTR;Body
cg01102638,-0.50,0.001,1.00,1.00,chr10,87679282,GRID1,Body
cg11337018,0.67,0.001,1.00,1.00,chr1,24513944,IL28RA;IL28RA;IL28RA,TSS200;TSS200;TSS200
cg22749565,-0.34,0.001,1.00,1.00,chr17,34227957,,
cg05064106,-0.61,0.001,1.00,1.00,chr22,50528213,MOV10L1;MOV10L1;MOV10L1,TSS1500;TSS1500;TSS1500
cg14010720,-0.57,0.001,1.00,1.00,chr20,62168878,PTK6,TSS200
