"Excel Table 7: Differentially variable positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category
cg09018862,0.71,1.90E-07,0.039,0.08,chr19,42882644,MEGF8,3'UTR
cg22387890,0.84,1.91E-07,0.039,0.08,chr7,6145595,USP42,5'UTR
cg07484326,0.41,3.00E-07,0.041,0.12,chr15,40714334,,
cg27361401,0.73,1.14E-06,0.104,0.47,chr3,32612762,DYNC1LI1,TSS1500
cg07015663,0.50,1.27E-06,0.104,0.52,chr2,30916892,,
cg00770754,1.48,1.63E-06,0.111,0.67,chr16,89440949,ANKRD11,5'UTR
cg16318688,0.53,5.49E-06,0.281,1.00,chr1,92502933,EPHX4,Body
cg23281729,1.23,5.90E-06,0.281,1.00,chr18,78005477,PARD6G,TSS200
cg18682923,0.84,6.71E-06,0.281,1.00,chr5,137687713,KDM3B,TSS1500
cg03904534,0.32,6.87E-06,0.281,1.00,chr16,78466521,WWOX,Body
cg06416764,0.33,1.11E-05,0.409,1.00,chr19,52227967,HAS1,TSS1500
cg20695175,0.24,1.20E-05,0.409,1.00,chr11,134556096,,
cg02032166,0.24,1.36E-05,0.426,1.00,chr10,75574934,CAMK2G;CAMK2G;CAMK2G;CAMK2G;CAMK2G,Body;Body;Body;Body;Body
cg11243656,-0.15,1.54E-05,0.449,1.00,chr13,50510650,C13orf1;C13orf1;C13orf1,TSS200;TSS200;TSS200
cg19234089,-0.17,2.06E-05,0.526,1.00,chr11,65728168,SART1,TSS1500
cg12391858,0.33,2.16E-05,0.526,1.00,chr15,43441510,TMEM62,Body
cg03988518,0.28,2.19E-05,0.526,1.00,chr6,170763536,,
cg11319265,0.25,2.38E-05,0.526,1.00,chr21,37258822,,
cg26961166,0.41,2.44E-05,0.526,1.00,chr8,73687160,KCNB2,Body
cg00828689,0.62,3.16E-05,0.618,1.00,chr3,196697064,PIGZ,TSS1500
cg18379624,0.67,3.17E-05,0.618,1.00,chr13,46038841,COG3,TSS1500
cg07159858,-0.17,3.35E-05,0.623,1.00,chr14,75744601,FOS,TSS1500
cg05798012,0.33,4.13E-05,0.725,1.00,chr6,36009413,MAPK14;MAPK14;MAPK14;MAPK14,Body;Body;Body;Body
cg22456479,0.34,4.26E-05,0.725,1.00,chr12,113793985,,
cg10380585,0.73,4.51E-05,0.737,1.00,chr1,211500971,TRAF5;TRAF5,5'UTR;5'UTR
cg09856206,0.53,4.97E-05,0.782,1.00,chr10,53459199,CSTF2T;PRKG1;PRKG1,1stExon;Body;Body
cg16145211,0.17,5.49E-05,0.798,1.00,chr17,75695378,,
cg16902425,-0.20,5.57E-05,0.798,1.00,chr6,29526459,UBD,Body
cg00006948,0.79,5.77E-05,0.798,1.00,chr4,1768889,,
cg17303299,0.30,5.85E-05,0.798,1.00,chr12,7023527,ENO2,TSS200
cg11002763,0.24,6.36E-05,0.817,1.00,chr11,78387503,ODZ4,Body
cg03479942,0.32,6.40E-05,0.817,1.00,chr16,69341763,SNTB2,3'UTR
cg19245054,0.23,7.04E-05,0.872,1.00,chr8,42912041,FNTA;FNTA;FNTA,Body;Body;Body
cg19640789,-0.28,7.38E-05,0.888,1.00,chr19,8650112,ADAMTS10,Body
cg20070659,0.38,8.03E-05,0.921,1.00,chr4,188736336,,
cg27101157,0.25,8.25E-05,0.921,1.00,chr17,62340122,TEX2,5'UTR
cg24396400,-0.18,8.51E-05,0.921,1.00,chr17,42154271,HDAC5;HDAC5,3'UTR;3'UTR
cg25306939,0.16,8.78E-05,0.921,1.00,chr11,2722086,KCNQ1OT1;KCNQ1;KCNQ1,TSS1500;Body;Body
cg17705066,-0.28,8.78E-05,0.921,1.00,chr19,3587038,GIPC3,Body
cg16353272,0.16,9.11E-05,0.931,1.00,chr16,2124240,TSC2;TSC2;TSC2,Body;Body;Body
cg19162300,0.15,9.80E-05,0.974,1.00,chr6,33860869,,
cg24515131,0.27,1.00E-04,0.974,1.00,chr10,1263207,ADARB2,Body
cg08492615,-0.47,1.08E-04,1.000,1.00,chr3,45729776,SACM1L,TSS1500
cg10836509,0.20,1.10E-04,1.000,1.00,chr1,226299603,,
cg10933186,0.70,1.20E-04,1.000,1.00,chr5,140719302,PCDHGA2;PCDHGA1;PCDHGA2,1stExon;Body;1stExon
cg15478005,-0.75,1.23E-04,1.000,1.00,chr3,113465772,ATP6V1A;NAA50,TSS200;TSS1500
cg19426944,0.14,1.26E-04,1.000,1.00,chr12,48397225,COL2A1;COL2A1,Body;Body
cg22490454,0.27,1.26E-04,1.000,1.00,chr2,468934,,
cg11572744,0.26,1.29E-04,1.000,1.00,chr5,146832933,DPYSL3,Body
cg27639569,0.29,1.30E-04,1.000,1.00,chr7,27936355,JAZF1,Body
cg02059867,0.16,1.31E-04,1.000,1.00,chr17,38334623,RAPGEFL1;RAPGEFL1,1stExon;5'UTR
cg20182709,0.24,1.31E-04,1.000,1.00,chr10,18895474,NSUN6,Body
cg10848882,0.18,1.31E-04,1.000,1.00,chr20,39765963,PLCG1;PLCG1,TSS200;TSS200
cg25861169,0.15,1.36E-04,1.000,1.00,chr15,77927358,,
cg12832857,-0.15,1.40E-04,1.000,1.00,chr20,44651204,SLC12A5,Body
cg12413579,0.25,1.48E-04,1.000,1.00,chr1,36108206,PSMB2,TSS1500
cg25608078,0.25,1.50E-04,1.000,1.00,chr14,96592778,,
cg19689427,0.33,1.51E-04,1.000,1.00,chr5,140719008,PCDHGA2;PCDHGA1;PCDHGA2,1stExon;Body;1stExon
cg11496226,0.27,1.53E-04,1.000,1.00,chr12,129571803,TMEM132D,Body
cg12461871,0.25,1.56E-04,1.000,1.00,chr3,153201494,C3orf79,TSS1500
cg25380755,-0.18,1.56E-04,1.000,1.00,chr11,68170978,LRP5,Body
cg02649849,-0.24,1.60E-04,1.000,1.00,chr9,969473,,
cg11938120,0.12,1.64E-04,1.000,1.00,chr5,56110761,MAP3K1,TSS200
cg20520804,-0.13,1.64E-04,1.000,1.00,chr10,3149673,PFKP,Body
cg06120945,0.20,1.69E-04,1.000,1.00,chr16,56622960,MT3,TSS1500
cg14906390,-0.13,1.70E-04,1.000,1.00,chr11,113930251,ZBTB16;ZBTB16,TSS200;TSS1500
cg20826024,0.23,1.75E-04,1.000,1.00,chr6,31529154,,
cg19050973,-0.51,1.75E-04,1.000,1.00,chr4,84206169,COQ2,TSS200
cg16444117,-0.15,1.76E-04,1.000,1.00,chr12,58240896,CTDSP2,TSS200
